DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
04/11/2025,16,3,7RNCHSLR_ALL,RN,41.61,N
04/11/2025,16,3,ABINDUST_RN,RN,51.96,N
04/11/2025,16,3,ADL_RN,RN,54,N
04/11/2025,16,3,AEEC,RN,52.97,N
04/11/2025,16,3,AE_RN,RN,49.15,N
04/11/2025,16,3,AGUAYO_UNIT1,RN,43.5,N
04/11/2025,16,3,AJAXWIND_RN,RN,56.71,N
04/11/2025,16,3,ALGOD_ALL_RN,RN,43.83,N
04/11/2025,16,3,ALP_BESS_RN,RN,49.97,N
04/11/2025,16,3,ALVIN_RN,RN,50.1,N
04/11/2025,16,3,AMADEUS_ALL,RN,50.15,N
04/11/2025,16,3,AMISTAD_ALL,RN,30.8,N
04/11/2025,16,3,AMOCOOIL_CC1,LCCRN,51.18,N
04/11/2025,16,3,AMOCOOIL_CC2,LCCRN,51.18,N
04/11/2025,16,3,AMOCO_PUN1,PUN,51.18,N
04/11/2025,16,3,AMOCO_PUN2,PUN,51.18,N
04/11/2025,16,3,AMO_AMOCO_1,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_2,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_5,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_G1,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_G2,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_G3,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_S1,PCCRN,51.18,N
04/11/2025,16,3,AMO_AMOCO_S2,PCCRN,51.18,N
04/11/2025,16,3,ANACACHO_ANA,RN,26.52,N
04/11/2025,16,3,ANCHOR_ALL,RN,45.16,N
04/11/2025,16,3,ANDMDSLR_ALL,RN,50.34,N
04/11/2025,16,3,ANEM_ESS_RN,RN,44.24,N
04/11/2025,16,3,ANG_ALL,RN,48.49,N
04/11/2025,16,3,ANOL_ESS_RN,RN,69.91,N
04/11/2025,16,3,ANSON1_ALL,RN,46.77,N
04/11/2025,16,3,ANTL_ESS_ES1,RN,35.75,N
04/11/2025,16,3,APPALOSA_ALL,RN,47.53,N
04/11/2025,16,3,AQUI_ALL,RN,-0.01,N
04/11/2025,16,3,ARAGORN_RN,RN,48.86,N
04/11/2025,16,3,ASCK_SLR_RN,RN,-0.01,N
04/11/2025,16,3,ASTRA_RN,RN,-2.84,N
04/11/2025,16,3,ATK_ATKINSG7,RN,53.11,N
04/11/2025,16,3,AURO_SLR_RN,RN,9.32,N
04/11/2025,16,3,AUSTPL_ALL,RN,39.9,N
04/11/2025,16,3,AVIAT_ALL,RN,49.14,N
04/11/2025,16,3,AVIL_ESS_RN,RN,48.31,N
04/11/2025,16,3,AZSP_SLR_RN,RN,75.5,N
04/11/2025,16,3,AZURE_RN,RN,49.14,N
04/11/2025,16,3,AZ_ALL,RN,53.54,N
04/11/2025,16,3,BAC_RN_ALL,RN,51.38,N
04/11/2025,16,3,BAFFIN_ALL,RN,44.03,N
04/11/2025,16,3,BAIRDWND_ALL,RN,45.16,N
04/11/2025,16,3,BAKE_RN_ALL,RN,33.57,N
04/11/2025,16,3,BARROW_ALL,RN,49.37,N
04/11/2025,16,3,BASTEN_CC1,LCCRN,40.05,N
04/11/2025,16,3,BASTEN_CCU,PCCRN,40.05,N
04/11/2025,16,3,BATCAVE_RN,RN,43.25,N
04/11/2025,16,3,BAYC_BESS_RN,RN,45.34,N
04/11/2025,16,3,BBREEZE_1_2,RN,44.12,N
04/11/2025,16,3,BCATWD_WD_1,RN,57.25,N
04/11/2025,16,3,BCH_RN,RN,49.15,N
04/11/2025,16,3,BCK_RN,RN,28.91,N
04/11/2025,16,3,BCNV_RN,RN,50.1,N
04/11/2025,16,3,BELM_SLR_RN,RN,30.23,N
04/11/2025,16,3,BEXAR_ES_RN,RN,41.81,N
04/11/2025,16,3,BIGSTAR_ALL,RN,40.48,N
04/11/2025,16,3,BKSL_RN,RN,53.16,N
