DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/14/2025,10,1,LZ_AEN,LZ,6.15,N,2025-04-14 09:00:00,69.0,13.1,316.0
04/14/2025,10,1,LZ_HOUSTON,LZ,14.33,N,2025-04-14 09:00:00,71.7,9.2,98.0
04/14/2025,10,1,LZ_NORTH,LZ,13.11,N,2025-04-14 09:00:00,66.4,8.1,289.0
04/13/2025,12,4,LZ_AEN,LZ,-5.51,N,2025-04-13 11:00:00,77.3,11.6,670.0
04/13/2025,12,4,LZ_HOUSTON,LZ,17.07,N,2025-04-13 11:00:00,75.7,10.5,170.0
04/13/2025,12,4,LZ_NORTH,LZ,-2.32,N,2025-04-13 11:00:00,77.5,16.8,1047.0
04/15/2025,2,1,LZ_AEN,LZ,20.0,N,2025-04-15 01:00:00,69.6,7.4,0.0
04/15/2025,2,1,LZ_HOUSTON,LZ,20.1,N,2025-04-15 01:00:00,69.6,12.7,0.0
04/15/2025,2,1,LZ_NORTH,LZ,20.4,N,2025-04-15 01:00:00,69.2,16.8,0.0
04/17/2025,16,3,LZ_AEN,LZ,23.83,N,2025-04-17 15:00:00,87.1,14.2,908.0
04/17/2025,16,3,LZ_HOUSTON,LZ,38.39,N,2025-04-17 15:00:00,81.1,24.8,819.0
04/17/2025,16,3,LZ_NORTH,LZ,21.61,N,2025-04-17 15:00:00,82.0,16.7,351.0
04/17/2025,5,3,LZ_AEN,LZ,19.04,N,2025-04-17 04:00:00,68.8,10.1,0.0
04/17/2025,5,3,LZ_HOUSTON,LZ,21.64,N,2025-04-17 04:00:00,68.1,14.1,0.0
04/17/2025,5,3,LZ_NORTH,LZ,21.82,N,2025-04-17 04:00:00,66.7,11.1,0.0
04/13/2025,6,4,LZ_AEN,LZ,12.93,N,2025-04-13 05:00:00,62.9,6.2,0.0
04/13/2025,6,4,LZ_HOUSTON,LZ,14.18,N,2025-04-13 05:00:00,66.1,10.7,0.0
04/13/2025,6,4,LZ_NORTH,LZ,14.81,N,2025-04-13 05:00:00,65.6,14.0,0.0
04/15/2025,11,1,LZ_AEN,LZ,22.02,N,2025-04-15 10:00:00,69.2,10.5,180.0
04/15/2025,11,1,LZ_HOUSTON,LZ,20.18,N,2025-04-15 10:00:00,73.4,4.8,434.0
04/15/2025,11,1,LZ_NORTH,LZ,13.71,N,2025-04-15 10:00:00,65.0,11.3,830.0
04/14/2025,19,1,LZ_AEN,LZ,104.58,N,2025-04-14 18:00:00,89.5,9.1,399.0
04/14/2025,19,1,LZ_HOUSTON,LZ,68.61,N,2025-04-14 18:00:00,81.0,8.2,287.0
04/14/2025,19,1,LZ_NORTH,LZ,50.18,N,2025-04-14 18:00:00,85.1,5.5,204.0
04/13/2025,3,4,LZ_AEN,LZ,13.96,N,2025-04-13 02:00:00,65.5,7.1,0.0
04/13/2025,3,4,LZ_HOUSTON,LZ,15.46,N,2025-04-13 02:00:00,66.3,9.6,0.0
04/13/2025,3,4,LZ_NORTH,LZ,15.34,N,2025-04-13 02:00:00,68.4,11.8,0.0
04/13/2025,9,2,LZ_AEN,LZ,-3.17,N,2025-04-13 08:00:00,63.3,10.1,62.0
04/13/2025,9,2,LZ_HOUSTON,LZ,-3.12,N,2025-04-13 08:00:00,66.3,11.6,45.0
04/13/2025,9,2,LZ_NORTH,LZ,-3.68,N,2025-04-13 08:00:00,63.2,11.7,52.0
04/12/2025,1,2,LZ_AEN,LZ,21.2,N,2025-04-12 00:00:00,67.2,0.1,0.0
04/12/2025,1,2,LZ_HOUSTON,LZ,21.26,N,2025-04-12 00:00:00,73.9,0.5,0.0
04/12/2025,1,2,LZ_NORTH,LZ,18.84,N,2025-04-12 00:00:00,65.0,5.3,0.0
04/13/2025,21,4,LZ_AEN,LZ,30.61,N,2025-04-13 20:00:00,81.8,8.5,0.0
04/13/2025,21,4,LZ_HOUSTON,LZ,27.02,N,2025-04-13 20:00:00,75.3,19.3,0.0
04/13/2025,21,4,LZ_NORTH,LZ,30.04,N,2025-04-13 20:00:00,84.5,16.4,0.0
04/12/2025,12,2,LZ_AEN,LZ,-7.04,N,2025-04-12 11:00:00,77.4,11.0,652.0
04/12/2025,12,2,LZ_HOUSTON,LZ,2.25,N,2025-04-12 11:00:00,77.1,12.1,93.0
04/12/2025,12,2,LZ_NORTH,LZ,-5.83,N,2025-04-12 11:00:00,71.5,12.9,1024.0
04/13/2025,20,2,LZ_AEN,LZ,94.61,N,2025-04-13 19:00:00,86.0,13.8,86.0
04/13/2025,20,2,LZ_HOUSTON,LZ,58.69,N,2025-04-13 19:00:00,77.4,14.2,15.0
04/13/2025,20,2,LZ_NORTH,LZ,61.86,N,2025-04-13 19:00:00,87.7,17.0,42.0
04/15/2025,24,1,LZ_AEN,LZ,26.01,N,2025-04-15 23:00:00,74.8,3.7,0.0
04/15/2025,24,1,LZ_HOUSTON,LZ,25.18,N,2025-04-15 23:00:00,71.4,12.6,0.0
04/15/2025,24,1,LZ_NORTH,LZ,23.72,N,2025-04-15 23:00:00,62.3,3.0,0.0
04/12/2025,3,4,LZ_AEN,LZ,15.97,N,2025-04-12 02:00:00,63.5,0.1,0.0
04/12/2025,3,4,LZ_HOUSTON,LZ,17.55,N,2025-04-12 02:00:00,68.9,7.0,0.0
04/12/2025,3,4,LZ_NORTH,LZ,17.68,N,2025-04-12 02:00:00,61.5,5.6,0.0
04/15/2025,19,1,LZ_AEN,LZ,33.13,N,2025-04-15 18:00:00,81.2,4.8,346.0
04/15/2025,19,1,LZ_HOUSTON,LZ,28.67,N,2025-04-15 18:00:00,77.3,10.9,199.0
04/15/2025,19,1,LZ_NORTH,LZ,18.44,N,2025-04-15 18:00:00,73.6,7.8,147.0
04/13/2025,23,2,LZ_AEN,LZ,19.33,N,2025-04-13 22:00:00,74.5,10.9,0.0
04/13/2025,23,2,LZ_HOUSTON,LZ,20.4,N,2025-04-13 22:00:00,71.8,13.4,0.0
04/13/2025,23,2,LZ_NORTH,LZ,24.83,N,2025-04-13 22:00:00,79.5,13.6,0.0
04/14/2025,11,1,LZ_AEN,LZ,4.06,N,2025-04-14 10:00:00,73.1,10.2,495.0
04/14/2025,11,1,LZ_HOUSTON,LZ,17.6,N,2025-04-14 10:00:00,72.0,9.4,168.0
04/14/2025,11,1,LZ_NORTH,LZ,11.15,N,2025-04-14 10:00:00,69.7,12.4,755.0
04/16/2025,5,3,LZ_AEN,LZ,21.67,N,2025-04-16 04:00:00,65.8,4.9,0.0
04/16/2025,5,3,LZ_HOUSTON,LZ,19.47,N,2025-04-16 04:00:00,67.7,5.9,0.0
04/16/2025,5,3,LZ_NORTH,LZ,15.54,N,2025-04-16 04:00:00,58.4,5.9,0.0
04/16/2025,16,3,LZ_AEN,LZ,36.75,N,2025-04-16 15:00:00,83.5,11.2,932.0
04/16/2025,16,3,LZ_HOUSTON,LZ,28.54,N,2025-04-16 15:00:00,80.7,10.6,769.0
04/16/2025,16,3,LZ_NORTH,LZ,13.99,N,2025-04-16 15:00:00,78.8,16.4,733.0
04/14/2025,2,1,LZ_AEN,LZ,18.08,N,2025-04-14 01:00:00,66.6,6.6,0.0
04/14/2025,2,1,LZ_HOUSTON,LZ,19.47,N,2025-04-14 01:00:00,68.3,16.5,0.0
04/14/2025,2,1,LZ_NORTH,LZ,21.22,N,2025-04-14 01:00:00,73.6,16.4,0.0
04/12/2025,12,4,LZ_AEN,LZ,-7.6,N,2025-04-12 11:00:00,77.4,11.0,652.0
04/12/2025,12,4,LZ_HOUSTON,LZ,2.34,N,2025-04-12 11:00:00,77.1,12.1,93.0
04/12/2025,12,4,LZ_NORTH,LZ,-4.6,N,2025-04-12 11:00:00,71.5,12.9,1024.0
04/15/2025,10,1,LZ_AEN,LZ,22.28,N,2025-04-15 09:00:00,66.8,12.5,74.0
04/15/2025,10,1,LZ_HOUSTON,LZ,21.98,N,2025-04-15 09:00:00,70.0,5.3,135.0
04/15/2025,10,1,LZ_NORTH,LZ,20.34,N,2025-04-15 09:00:00,62.5,11.1,113.0
04/14/2025,24,1,LZ_AEN,LZ,28.6,N,2025-04-14 23:00:00,74.5,8.1,0.0
04/14/2025,24,1,LZ_HOUSTON,LZ,28.69,N,2025-04-14 23:00:00,70.0,8.6,0.0
04/14/2025,24,1,LZ_NORTH,LZ,29.34,N,2025-04-14 23:00:00,72.7,10.2,0.0
04/18/2025,7,4,LZ_AEN,LZ,18.84,N,2025-04-18 06:00:00,69.4,11.8,0.0
04/18/2025,7,4,LZ_HOUSTON,LZ,18.45,N,2025-04-18 06:00:00,71.9,16.0,0.0
04/18/2025,7,4,LZ_NORTH,LZ,16.73,N,2025-04-18 06:00:00,69.2,14.7,0.0
04/12/2025,20,2,LZ_AEN,LZ,94.59,N,2025-04-12 19:00:00,84.8,12.0,90.0
04/12/2025,20,2,LZ_HOUSTON,LZ,46.85,N,2025-04-12 19:00:00,77.2,12.6,18.0
04/12/2025,20,2,LZ_NORTH,LZ,34.37,N,2025-04-12 19:00:00,80.1,14.4,38.0
04/13/2025,12,2,LZ_AEN,LZ,-6.32,N,2025-04-13 11:00:00,77.3,11.6,670.0
04/13/2025,12,2,LZ_HOUSTON,LZ,15.84,N,2025-04-13 11:00:00,75.7,10.5,170.0
04/13/2025,12,2,LZ_NORTH,LZ,-3.41,N,2025-04-13 11:00:00,77.5,16.8,1047.0
04/13/2025,1,2,LZ_AEN,LZ,16.9,N,2025-04-13 00:00:00,69.9,8.8,0.0
04/13/2025,1,2,LZ_HOUSTON,LZ,18.31,N,2025-04-13 00:00:00,68.0,8.6,0.0
04/13/2025,1,2,LZ_NORTH,LZ,17.57,N,2025-04-13 00:00:00,70.3,12.7,0.0
04/12/2025,9,2,LZ_AEN,LZ,-0.75,N,2025-04-12 08:00:00,60.8,0.0,68.0
04/12/2025,9,2,LZ_HOUSTON,LZ,-0.97,N,2025-04-12 08:00:00,67.3,10.4,33.0
04/12/2025,9,2,LZ_NORTH,LZ,-1.75,N,2025-04-12 08:00:00,57.7,8.2,56.0
04/11/2025,3,1,LZ_AEN,LZ,29.27,N,2025-04-11 02:00:00,65.0,0.0,0.0
04/11/2025,3,1,LZ_HOUSTON,LZ,28.69,N,2025-04-11 02:00:00,65.9,4.7,0.0
04/11/2025,3,1,LZ_NORTH,LZ,29.35,N,2025-04-11 02:00:00,69.1,7.0,0.0
04/16/2025,22,3,LZ_AEN,LZ,54.49,N,2025-04-16 21:00:00,76.7,10.4,0.0
04/16/2025,22,3,LZ_HOUSTON,LZ,68.17,N,2025-04-16 21:00:00,71.7,13.6,0.0
04/16/2025,22,3,LZ_NORTH,LZ,82.65,N,2025-04-16 21:00:00,74.7,13.8,0.0
04/13/2025,3,2,LZ_AEN,LZ,14.4,N,2025-04-13 02:00:00,65.5,7.1,0.0
