DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp
04/14/2025,10,1,LZ_AEN,LZEW,6.14,N,2025-04-14 09:00:00
04/14/2025,10,1,LZ_AEN,LZ,6.15,N,2025-04-14 09:00:00
04/14/2025,10,1,LZ_HOUSTON,LZEW,14.33,N,2025-04-14 09:00:00
04/14/2025,10,1,LZ_HOUSTON,LZ,14.33,N,2025-04-14 09:00:00
04/14/2025,10,1,LZ_NORTH,LZEW,13.11,N,2025-04-14 09:00:00
04/14/2025,10,1,LZ_NORTH,LZ,13.11,N,2025-04-14 09:00:00
04/13/2025,12,4,LZ_AEN,LZEW,-5.51,N,2025-04-13 11:00:00
04/13/2025,12,4,LZ_AEN,LZ,-5.51,N,2025-04-13 11:00:00
04/13/2025,12,4,LZ_HOUSTON,LZ,17.07,N,2025-04-13 11:00:00
04/13/2025,12,4,LZ_HOUSTON,LZEW,17.07,N,2025-04-13 11:00:00
04/13/2025,12,4,LZ_NORTH,LZ,-2.32,N,2025-04-13 11:00:00
04/13/2025,12,4,LZ_NORTH,LZEW,-2.32,N,2025-04-13 11:00:00
04/15/2025,2,1,LZ_AEN,LZEW,20.0,N,2025-04-15 01:00:00
04/15/2025,2,1,LZ_AEN,LZ,20.0,N,2025-04-15 01:00:00
04/15/2025,2,1,LZ_HOUSTON,LZ,20.1,N,2025-04-15 01:00:00
04/15/2025,2,1,LZ_HOUSTON,LZEW,20.1,N,2025-04-15 01:00:00
04/15/2025,2,1,LZ_NORTH,LZ,20.4,N,2025-04-15 01:00:00
04/15/2025,2,1,LZ_NORTH,LZEW,20.4,N,2025-04-15 01:00:00
04/17/2025,16,3,LZ_AEN,LZEW,23.82,N,2025-04-17 15:00:00
04/17/2025,16,3,LZ_AEN,LZ,23.83,N,2025-04-17 15:00:00
04/17/2025,16,3,LZ_HOUSTON,LZ,38.39,N,2025-04-17 15:00:00
04/17/2025,16,3,LZ_HOUSTON,LZEW,38.39,N,2025-04-17 15:00:00
04/17/2025,16,3,LZ_NORTH,LZ,21.61,N,2025-04-17 15:00:00
04/17/2025,16,3,LZ_NORTH,LZEW,21.61,N,2025-04-17 15:00:00
04/17/2025,5,3,LZ_AEN,LZEW,19.04,N,2025-04-17 04:00:00
04/17/2025,5,3,LZ_AEN,LZ,19.04,N,2025-04-17 04:00:00
04/17/2025,5,3,LZ_HOUSTON,LZEW,21.64,N,2025-04-17 04:00:00
04/17/2025,5,3,LZ_HOUSTON,LZ,21.64,N,2025-04-17 04:00:00
04/17/2025,5,3,LZ_NORTH,LZEW,21.82,N,2025-04-17 04:00:00
04/17/2025,5,3,LZ_NORTH,LZ,21.82,N,2025-04-17 04:00:00
04/13/2025,6,4,LZ_AEN,LZEW,12.93,N,2025-04-13 05:00:00
04/13/2025,6,4,LZ_AEN,LZ,12.93,N,2025-04-13 05:00:00
04/13/2025,6,4,LZ_HOUSTON,LZEW,14.18,N,2025-04-13 05:00:00
04/13/2025,6,4,LZ_HOUSTON,LZ,14.18,N,2025-04-13 05:00:00
04/13/2025,6,4,LZ_NORTH,LZEW,14.81,N,2025-04-13 05:00:00
04/13/2025,6,4,LZ_NORTH,LZ,14.81,N,2025-04-13 05:00:00
04/15/2025,11,1,LZ_AEN,LZ,22.02,N,2025-04-15 10:00:00
04/15/2025,11,1,LZ_AEN,LZEW,22.02,N,2025-04-15 10:00:00
04/15/2025,11,1,LZ_HOUSTON,LZEW,20.18,N,2025-04-15 10:00:00
04/15/2025,11,1,LZ_HOUSTON,LZ,20.18,N,2025-04-15 10:00:00
04/15/2025,11,1,LZ_NORTH,LZEW,13.71,N,2025-04-15 10:00:00
04/15/2025,11,1,LZ_NORTH,LZ,13.71,N,2025-04-15 10:00:00
04/14/2025,19,1,LZ_AEN,LZEW,104.53,N,2025-04-14 18:00:00
04/14/2025,19,1,LZ_AEN,LZ,104.58,N,2025-04-14 18:00:00
04/14/2025,19,1,LZ_HOUSTON,LZEW,68.62,N,2025-04-14 18:00:00
04/14/2025,19,1,LZ_HOUSTON,LZ,68.61,N,2025-04-14 18:00:00
04/14/2025,19,1,LZ_NORTH,LZ,50.18,N,2025-04-14 18:00:00
04/14/2025,19,1,LZ_NORTH,LZEW,50.22,N,2025-04-14 18:00:00
04/13/2025,3,4,LZ_AEN,LZEW,13.96,N,2025-04-13 02:00:00
04/13/2025,3,4,LZ_AEN,LZ,13.96,N,2025-04-13 02:00:00
04/13/2025,3,4,LZ_HOUSTON,LZEW,15.46,N,2025-04-13 02:00:00
04/13/2025,3,4,LZ_HOUSTON,LZ,15.46,N,2025-04-13 02:00:00
04/13/2025,3,4,LZ_NORTH,LZEW,15.34,N,2025-04-13 02:00:00
04/13/2025,3,4,LZ_NORTH,LZ,15.34,N,2025-04-13 02:00:00
04/13/2025,9,2,LZ_AEN,LZEW,-3.17,N,2025-04-13 08:00:00
04/13/2025,9,2,LZ_AEN,LZ,-3.17,N,2025-04-13 08:00:00
04/13/2025,9,2,LZ_HOUSTON,LZ,-3.12,N,2025-04-13 08:00:00
04/13/2025,9,2,LZ_HOUSTON,LZEW,-3.12,N,2025-04-13 08:00:00
04/13/2025,9,2,LZ_NORTH,LZ,-3.68,N,2025-04-13 08:00:00
04/13/2025,9,2,LZ_NORTH,LZEW,-3.68,N,2025-04-13 08:00:00
04/12/2025,1,2,LZ_AEN,LZEW,21.2,N,2025-04-12 00:00:00
04/12/2025,1,2,LZ_AEN,LZ,21.2,N,2025-04-12 00:00:00
04/12/2025,1,2,LZ_HOUSTON,LZEW,21.26,N,2025-04-12 00:00:00
04/12/2025,1,2,LZ_HOUSTON,LZ,21.26,N,2025-04-12 00:00:00
04/12/2025,1,2,LZ_NORTH,LZEW,18.84,N,2025-04-12 00:00:00
04/12/2025,1,2,LZ_NORTH,LZ,18.84,N,2025-04-12 00:00:00
04/13/2025,21,4,LZ_AEN,LZEW,30.62,N,2025-04-13 20:00:00
04/13/2025,21,4,LZ_AEN,LZ,30.61,N,2025-04-13 20:00:00
04/13/2025,21,4,LZ_HOUSTON,LZ,27.02,N,2025-04-13 20:00:00
04/13/2025,21,4,LZ_HOUSTON,LZEW,27.02,N,2025-04-13 20:00:00
04/13/2025,21,4,LZ_NORTH,LZ,30.04,N,2025-04-13 20:00:00
04/13/2025,21,4,LZ_NORTH,LZEW,30.03,N,2025-04-13 20:00:00
04/12/2025,12,2,LZ_AEN,LZEW,-7.04,N,2025-04-12 11:00:00
04/12/2025,12,2,LZ_AEN,LZ,-7.04,N,2025-04-12 11:00:00
04/12/2025,12,2,LZ_HOUSTON,LZEW,2.25,N,2025-04-12 11:00:00
04/12/2025,12,2,LZ_HOUSTON,LZ,2.25,N,2025-04-12 11:00:00
04/12/2025,12,2,LZ_NORTH,LZ,-5.83,N,2025-04-12 11:00:00
04/12/2025,12,2,LZ_NORTH,LZEW,-5.83,N,2025-04-12 11:00:00
04/13/2025,20,2,LZ_AEN,LZEW,94.66,N,2025-04-13 19:00:00
04/13/2025,20,2,LZ_AEN,LZ,94.61,N,2025-04-13 19:00:00
04/13/2025,20,2,LZ_HOUSTON,LZ,58.69,N,2025-04-13 19:00:00
04/13/2025,20,2,LZ_HOUSTON,LZEW,58.69,N,2025-04-13 19:00:00
04/13/2025,20,2,LZ_NORTH,LZ,61.86,N,2025-04-13 19:00:00
04/13/2025,20,2,LZ_NORTH,LZEW,61.86,N,2025-04-13 19:00:00
04/15/2025,24,1,LZ_AEN,LZEW,26.01,N,2025-04-15 23:00:00
04/15/2025,24,1,LZ_AEN,LZ,26.01,N,2025-04-15 23:00:00
04/15/2025,24,1,LZ_HOUSTON,LZEW,25.18,N,2025-04-15 23:00:00
04/15/2025,24,1,LZ_HOUSTON,LZ,25.18,N,2025-04-15 23:00:00
04/15/2025,24,1,LZ_NORTH,LZEW,23.72,N,2025-04-15 23:00:00
04/15/2025,24,1,LZ_NORTH,LZ,23.72,N,2025-04-15 23:00:00
04/12/2025,3,4,LZ_AEN,LZEW,15.97,N,2025-04-12 02:00:00
04/12/2025,3,4,LZ_AEN,LZ,15.97,N,2025-04-12 02:00:00
04/12/2025,3,4,LZ_HOUSTON,LZ,17.55,N,2025-04-12 02:00:00
04/12/2025,3,4,LZ_HOUSTON,LZEW,17.55,N,2025-04-12 02:00:00
04/12/2025,3,4,LZ_NORTH,LZ,17.68,N,2025-04-12 02:00:00
04/12/2025,3,4,LZ_NORTH,LZEW,17.68,N,2025-04-12 02:00:00
04/15/2025,19,1,LZ_AEN,LZEW,33.12,N,2025-04-15 18:00:00
04/15/2025,19,1,LZ_AEN,LZ,33.13,N,2025-04-15 18:00:00
04/15/2025,19,1,LZ_HOUSTON,LZ,28.67,N,2025-04-15 18:00:00
04/15/2025,19,1,LZ_HOUSTON,LZEW,28.65,N,2025-04-15 18:00:00
04/15/2025,19,1,LZ_NORTH,LZ,18.44,N,2025-04-15 18:00:00
04/15/2025,19,1,LZ_NORTH,LZEW,18.43,N,2025-04-15 18:00:00
04/13/2025,23,2,LZ_AEN,LZEW,19.33,N,2025-04-13 22:00:00
04/13/2025,23,2,LZ_AEN,LZ,19.33,N,2025-04-13 22:00:00
04/13/2025,23,2,LZ_HOUSTON,LZ,20.4,N,2025-04-13 22:00:00
04/13/2025,23,2,LZ_HOUSTON,LZEW,20.4,N,2025-04-13 22:00:00
04/13/2025,23,2,LZ_NORTH,LZ,24.83,N,2025-04-13 22:00:00
04/13/2025,23,2,LZ_NORTH,LZEW,24.83,N,2025-04-13 22:00:00
04/14/2025,11,1,LZ_AEN,LZEW,4.06,N,2025-04-14 10:00:00
04/14/2025,11,1,LZ_AEN,LZ,4.06,N,2025-04-14 10:00:00
04/14/2025,11,1,LZ_HOUSTON,LZEW,17.61,N,2025-04-14 10:00:00
04/14/2025,11,1,LZ_HOUSTON,LZ,17.6,N,2025-04-14 10:00:00
04/14/2025,11,1,LZ_NORTH,LZ,11.15,N,2025-04-14 10:00:00
04/14/2025,11,1,LZ_NORTH,LZEW,11.15,N,2025-04-14 10:00:00
04/16/2025,5,3,LZ_AEN,LZEW,21.67,N,2025-04-16 04:00:00
04/16/2025,5,3,LZ_AEN,LZ,21.67,N,2025-04-16 04:00:00
04/16/2025,5,3,LZ_HOUSTON,LZEW,19.47,N,2025-04-16 04:00:00
04/16/2025,5,3,LZ_HOUSTON,LZ,19.47,N,2025-04-16 04:00:00
04/16/2025,5,3,LZ_NORTH,LZEW,15.54,N,2025-04-16 04:00:00
04/16/2025,5,3,LZ_NORTH,LZ,15.54,N,2025-04-16 04:00:00
04/16/2025,16,3,LZ_AEN,LZ,36.75,N,2025-04-16 15:00:00
04/16/2025,16,3,LZ_AEN,LZEW,36.75,N,2025-04-16 15:00:00
04/16/2025,16,3,LZ_HOUSTON,LZEW,28.54,N,2025-04-16 15:00:00
04/16/2025,16,3,LZ_HOUSTON,LZ,28.54,N,2025-04-16 15:00:00
04/16/2025,16,3,LZ_NORTH,LZEW,13.99,N,2025-04-16 15:00:00
04/16/2025,16,3,LZ_NORTH,LZ,13.99,N,2025-04-16 15:00:00
04/14/2025,2,1,LZ_AEN,LZEW,18.08,N,2025-04-14 01:00:00
04/14/2025,2,1,LZ_AEN,LZ,18.08,N,2025-04-14 01:00:00
04/14/2025,2,1,LZ_HOUSTON,LZ,19.47,N,2025-04-14 01:00:00
04/14/2025,2,1,LZ_HOUSTON,LZEW,19.47,N,2025-04-14 01:00:00
04/14/2025,2,1,LZ_NORTH,LZ,21.22,N,2025-04-14 01:00:00
04/14/2025,2,1,LZ_NORTH,LZEW,21.22,N,2025-04-14 01:00:00
04/12/2025,12,4,LZ_AEN,LZEW,-7.6,N,2025-04-12 11:00:00
