timestamp,temperature,windspeed,solar_irradiance
2025-04-10 00:00:00-05:00,67.7,8.6,0.0
2025-04-10 01:00:00-05:00,66.3,6.7,0.0
2025-04-10 02:00:00-05:00,64.2,8.6,0.0
2025-04-10 03:00:00-05:00,62.6,7.0,0.0
2025-04-10 04:00:00-05:00,59.7,5.3,0.0
2025-04-10 05:00:00-05:00,59.8,8.2,0.0
2025-04-10 06:00:00-05:00,58.8,7.6,0.0
2025-04-10 07:00:00-05:00,57.1,5.3,0.0
2025-04-10 08:00:00-05:00,57.5,5.9,55.0
2025-04-10 09:00:00-05:00,61.1,6.4,145.0
2025-04-10 10:00:00-05:00,64.6,6.0,788.0
2025-04-10 11:00:00-05:00,69.1,0.0,1007.0
2025-04-10 12:00:00-05:00,73.7,1.1,1167.0
2025-04-10 13:00:00-05:00,77.5,6.4,1191.0
2025-04-10 14:00:00-05:00,79.1,7.7,17.0
2025-04-10 15:00:00-05:00,80.7,7.6,1107.0
2025-04-10 16:00:00-05:00,82.4,3.7,909.0
2025-04-10 17:00:00-05:00,83.0,5.9,636.0
2025-04-10 18:00:00-05:00,82.6,6.1,188.0
2025-04-10 19:00:00-05:00,81.6,5.9,60.0
2025-04-10 20:00:00-05:00,78.8,5.3,0.0
2025-04-10 21:00:00-05:00,74.5,3.0,0.0
2025-04-10 22:00:00-05:00,70.8,1.9,0.0
2025-04-10 23:00:00-05:00,67.7,1.1,0.0
2025-04-11 00:00:00-05:00,66.4,0.0,0.0
2025-04-11 01:00:00-05:00,68.1,7.2,0.0
2025-04-11 02:00:00-05:00,69.1,7.0,0.0
2025-04-11 03:00:00-05:00,66.8,4.9,0.0
2025-04-11 04:00:00-05:00,65.6,4.1,0.0
2025-04-11 05:00:00-05:00,61.4,3.6,0.0
2025-04-11 06:00:00-05:00,55.2,2.7,0.0
2025-04-11 07:00:00-05:00,55.3,4.6,5.0
2025-04-11 08:00:00-05:00,57.8,1.9,53.0
2025-04-11 09:00:00-05:00,66.0,4.6,179.0
2025-04-11 10:00:00-05:00,72.9,6.5,810.0
2025-04-11 11:00:00-05:00,74.5,6.6,1053.0
2025-04-11 12:00:00-05:00,77.6,8.6,1142.0
2025-04-11 13:00:00-05:00,78.7,3.8,157.0
2025-04-11 14:00:00-05:00,79.4,3.0,15.0
2025-04-11 15:00:00-05:00,80.3,7.1,1139.0
2025-04-11 16:00:00-05:00,80.5,8.0,943.0
2025-04-11 17:00:00-05:00,80.1,7.3,638.0
2025-04-11 18:00:00-05:00,79.6,9.1,235.0
2025-04-11 19:00:00-05:00,77.3,6.7,40.0
2025-04-11 20:00:00-05:00,73.7,1.1,0.0
2025-04-11 21:00:00-05:00,70.7,1.5,0.0
2025-04-11 22:00:00-05:00,67.1,4.2,0.0
2025-04-11 23:00:00-05:00,66.5,3.5,0.0
2025-04-12 00:00:00-05:00,65.0,5.3,0.0
2025-04-12 01:00:00-05:00,63.0,4.9,0.0
2025-04-12 02:00:00-05:00,61.5,5.6,0.0
2025-04-12 03:00:00-05:00,60.7,6.3,0.0
2025-04-12 04:00:00-05:00,59.4,5.5,0.0
2025-04-12 05:00:00-05:00,58.7,5.9,0.0
2025-04-12 06:00:00-05:00,56.8,6.5,0.0
2025-04-12 07:00:00-05:00,57.1,6.9,4.0
2025-04-12 08:00:00-05:00,57.7,8.2,56.0
2025-04-12 09:00:00-05:00,63.1,8.9,193.0
2025-04-12 10:00:00-05:00,67.7,10.9,786.0
2025-04-12 11:00:00-05:00,71.5,12.9,1024.0
2025-04-12 12:00:00-05:00,74.9,11.5,1176.0
2025-04-12 13:00:00-05:00,78.1,14.1,117.0
2025-04-12 14:00:00-05:00,78.9,15.9,16.0
2025-04-12 15:00:00-05:00,80.5,13.2,1114.0
2025-04-12 16:00:00-05:00,81.5,19.1,928.0
2025-04-12 17:00:00-05:00,82.1,16.1,667.0
2025-04-12 18:00:00-05:00,81.5,16.1,212.0
2025-04-12 19:00:00-05:00,80.1,14.4,38.0
2025-04-12 20:00:00-05:00,77.4,13.1,0.0
2025-04-12 21:00:00-05:00,75.7,11.4,0.0
2025-04-12 22:00:00-05:00,73.6,13.7,0.0
2025-04-12 23:00:00-05:00,72.4,14.3,0.0
2025-04-13 00:00:00-05:00,70.3,12.7,0.0
2025-04-13 01:00:00-05:00,68.6,11.5,0.0
2025-04-13 02:00:00-05:00,68.4,11.8,0.0
2025-04-13 03:00:00-05:00,68.3,11.9,0.0
2025-04-13 04:00:00-05:00,67.5,12.3,0.0
2025-04-13 05:00:00-05:00,65.6,14.0,0.0
2025-04-13 06:00:00-05:00,64.6,14.1,0.0
2025-04-13 07:00:00-05:00,62.8,13.2,5.0
2025-04-13 08:00:00-05:00,63.2,11.7,52.0
2025-04-13 09:00:00-05:00,67.7,13.7,282.0
2025-04-13 10:00:00-05:00,73.3,16.7,820.0
2025-04-13 11:00:00-05:00,77.5,16.8,1047.0
2025-04-13 12:00:00-05:00,80.4,19.4,1187.0
2025-04-13 13:00:00-05:00,83.9,19.5,85.0
2025-04-13 14:00:00-05:00,86.5,19.0,60.0
2025-04-13 15:00:00-05:00,88.2,19.5,1115.0
2025-04-13 16:00:00-05:00,89.8,17.9,925.0
2025-04-13 17:00:00-05:00,90.2,16.4,463.0
2025-04-13 18:00:00-05:00,89.1,14.5,329.0
2025-04-13 19:00:00-05:00,87.7,17.0,42.0
2025-04-13 20:00:00-05:00,84.5,16.4,0.0
2025-04-13 21:00:00-05:00,81.6,15.4,0.0
2025-04-13 22:00:00-05:00,79.5,13.6,0.0
2025-04-13 23:00:00-05:00,76.7,14.2,0.0
2025-04-14 00:00:00-05:00,75.3,16.1,0.0
2025-04-14 01:00:00-05:00,73.6,16.4,0.0
2025-04-14 02:00:00-05:00,71.4,17.5,0.0
2025-04-14 03:00:00-05:00,68.7,13.8,0.0
2025-04-14 04:00:00-05:00,67.7,13.4,0.0
2025-04-14 05:00:00-05:00,65.7,11.5,0.0
2025-04-14 06:00:00-05:00,65.0,13.1,0.0
2025-04-14 07:00:00-05:00,64.1,11.6,5.0
2025-04-14 08:00:00-05:00,64.1,10.9,94.0
2025-04-14 09:00:00-05:00,66.4,8.1,289.0
2025-04-14 10:00:00-05:00,69.7,12.4,755.0
2025-04-14 11:00:00-05:00,73.5,14.3,1012.0
2025-04-14 12:00:00-05:00,77.3,12.5,589.0
2025-04-14 13:00:00-05:00,79.9,9.3,675.0
2025-04-14 14:00:00-05:00,80.9,8.6,1195.0
2025-04-14 15:00:00-05:00,83.0,4.1,1073.0
2025-04-14 16:00:00-05:00,85.1,4.7,262.0
2025-04-14 17:00:00-05:00,84.9,3.7,461.0
2025-04-14 18:00:00-05:00,85.1,5.5,204.0
